sep=,
0,86.02,61.13,76.5,986.5,697.2,1318,1333,476.4,677,232.1,507,251.5,391.5,255.7,206.6,920.7,287.8,597,663.5,35.93,53.76,24.9,104.3,11.44,661.5,543,153.6,184.4,354.6,3025,335.8,479.5,298.9,526.5,689,-4.189,125.8,485.3,-2.859,387.1,-450.4,252.7,220.3,-5.869,390.9,553.3,187,216.1,92.99,808.59,408.3,718.01,0,153.72
-35.36,0,38.81,74.15,524.1,787.6,270.6,526.1,182.6,448.8,37.85,333.5,214.5,240.9,163.9,61.11,749.3,280.5,336.9,318.9,-36.87,58.55,-13.99,109.7,100.1,357.5,0,76.3,0,262.9,0,0,183.8,31.14,179,-52.87,-66.46,359.3,-70.45,449.4,48.33,0,0,86.46,0,200.2,268.1,-617,62.56,0,200.94,219.9,-677.25,0,0
-11.12,3.446,0,167,636.1,637.4,903.8,1329,25.77,347.3,5.994,287.1,32.14,161.7,122.8,90.49,648.2,-4.449,212.5,537.4,-18.81,-144.4,-231.9,3,187,168,194.9,52.07,-10.43,-64.69,210.7,113.3,261.3,0,169.9,383.9,-259.1,389.3,245.6,22.67,103.5,-432.3,238.9,30.04,-88.11,0,333.3,0,-59.58,-39.16,360.82,171.49,272.33,22.06,174.35
-69.7,-113.6,-146.8,0,803.2,603.3,5695,884.9,-52.1,586.8,5688,197.8,213.1,19.05,-49.29,23.5,664.2,52.8,6096,872.3,-114.1,-111,-80.25,-141.3,-211,3629,4448,-9.451,393.6,48.49,4975,259,210,0,4284,-119.2,-282.5,101.4,5629,0,69.26,0,0,46.38,0,0,421.9,0,-203.6,184.9,233.51,-184.68,9.63,795.38,-280.9
156.4,457,89.6,25.82,0,-137.1,265.87,-259.7,84,-203.6,101.1,267.8,28.06,8.642,42.7,-323,-52.39,170,6.712,224.39,75.62,65.28,-98.12,143.1,123.5,256.5,157.1,488.9,147.5,-120.5,-318.9,313.5,202.1,727.8,-202.1,74.27,225.8,44.78,-143.9,0,190.3,-817.7,0,-504.2,72.96,-382.7,-248.3,0,104.7,57.65,215.81,6.39,0,0,147.97
16.51,-12.52,-50,-44.5,249.1,0,-181,-101.7,23.39,306.4,-10.72,179.7,-128.6,359.3,-20.98,53.9,489.7,580.5,53.28,-202,-38.32,-102.5,-139.4,-44.76,-28.25,75.14,0,-31.09,17.5,0,119.2,212.1,106.3,0,-399.3,-5.224,33.47,-48.25,-172.4,0,165.7,0,0,0,-52.1,0,0,37.63,-59.4,-46.01,150.02,98.2,0,0,0
300,496.1,362.3,377.6,-467.42,289.6,0,324.5,-195.4,-116,72.87,0,540.5,48.89,168,304,243.2,459,112.6,-69.29,325.4,370.4,353.7,497.5,133.9,220.6,399.5,887.1,0,188,12.72,0,0,0,-139,160.8,0,0,319,0,-197.5,-363.8,0,-452.2,0,835.6,139.6,0,407.9,0,-255.63,-144.77,0,0,580.28
275.8,217.5,24.34,244.2,-451.6,-265.2,-601.8,0,-356.1,-271.1,-449.4,0,-162.9,0,0,0,119.9,-305.5,0,408.9,0,0,0,1827,6915,0,0,8484,0,0,-687.1,0,0,-246.6,0,0,0,0,0,0,-494.2,0,0,-659,0,0,0,0,0,1005,0,0,0,0,0
26.76,42.92,140.1,365.8,164.5,108.7,472.5,-133.1,0,-37.36,-213.7,-190.4,-103.6,0,-174.2,-169,6201,7.341,481.7,669.4,-191.7,-130.3,-354.6,-39.2,-119.8,137.5,548.5,216.1,-46.28,-163.7,71.46,53.59,245.2,0,-44.58,0,-34.57,0,-61.7,0,-18.8,-588.9,0,0,0,0,37.54,0,0,-162.6,0,-288.94,91.01,0,179.74
505.7,56.3,23.39,106,529,-340.2,480.8,-155.6,128,0,-110.3,766,304.1,0,0,0,0,0,0,497.5,751.9,67.52,-483.7,0,0,0,0,0,0,0,0,117,0,0,0,-339.2,172.4,0,-268.8,0,-275.5,0,0,0,0,0,0,0,0,0,0,79.71,0,0,0
